time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.004590680942437769,0.005138349960430395,9.996558273790825,3.178646828899506,4.753248750061312,0.0,-0.12626765800574086,0.10759616535004222,-0.4053688807518883,-9.777761971556226,-8.196843470658148,0.0,807.4199768784182,205.84832124059565,856.0517521097563,52.03466826906789
0.12000000000000001,0.011438627024513228,0.0062686696032323115,9.95169381780234,0.7621155087030473,0.7025751839425318,0.0,0.3531922887179545,-0.09989821267431104,-1.0822847855338869,-17.83040655242113,-15.58727292324549,0.0,833.5600794924627,194.95275554681737,867.0024151325796,58.01176538696282
0.18,0.0062155572986855,0.01793144226747841,9.879048069530992,2.198370952333711,1.1597012773827498,0.0,-0.5997968798759178,0.4407144683525879,-1.5296796535232398,-21.729957626718882,-18.51929784418004,0.0,752.8908385803219,286.34467502888435,807.792800909789,67.95484776110811
0.23999999999999996,-0.06726444841184111,0.04937161298093399,9.766341494887998,1.997077888190221,1.877503433703275,0.0,-1.8590296570547387,0.43981834692447636,-2.100668892784386,-24.32734569026495,-21.85845481177443,0.0,832.5657405340423,261.0710811861167,836.3952213392116,81.99026527130158
0.3,-0.21682129808765538,0.06963296393525568,9.625949281124168,0.8347537791205317,0.961810689595497,0.0,-3.129322108908973,0.37958127604425024,-2.595888567580371,-25.70519776308385,-23.442996252180635,0.0,822.3327536551324,262.9537460277681,842.0472457727113,79.97609655826581
0.36000000000000004,-0.4298761369809822,0.10462174489603714,9.475691742006298,5.619330185081877,5.902042662660974,0.0,-3.7611182927056146,0.6226763616477684,-2.2392655557582497,-26.277898720774807,-24.12029215520005,0.0,820.3882869797246,276.480042906515,838.6601953610481,81.89526498688566
0.4200000000000001,-0.6359271515009616,0.12005567287792893,9.341838434928,4.0422384029204945,4.665502729805022,0.0,-2.9543215428397183,-0.05958939260214818,-2.4406850117685845,-26.298971331236242,-25.291857773586116,0.0,829.8151797028842,121.98424231309978,829.5226205353813,116.26790404142352
0.48000000000000015,-0.7781586955668245,0.11989563459180687,9.188240601019306,2.553905401339314,3.1530593693729045,0.0,-1.9345596954446946,0.02604353901602096,-2.4351281858251568,-27.08586507217871,-25.175540098118947,0.0,819.9458253034046,244.87568437165933,864.8777192411649,31.02300180586347
0.5400000000000001,-0.9030801743336596,0.09690931882076037,9.046897117747074,0.9311336509374604,1.7051187444112585,0.0,-2.4635444010116023,-0.7995970828051164,-2.5266704483592384,-27.018683922759923,-24.63861877338131,0.0,797.9795877821969,262.26321393231774,844.8925438800063,74.15301738355394
0.6000000000000002,-1.0867670930044286,0.047718250776217955,8.882585789263905,5.616458625054253,0.29556166408957907,0.0,-3.584120459588688,-0.8360037131974315,-2.729332928677433,-26.71525674391252,-24.07211001386193,0.0,792.5153418185755,297.7013034505928,832.3463853450677,100.47414041550208
0.6600000000000003,-1.3054178478190346,-0.030716522419321976,8.720959157200905,4.022364528445081,5.309492109251142,0.0,-3.4818019136332232,-1.8566098743693638,-2.911115713858302,-26.548111679795337,-25.146537132193938,0.0,825.6744127942894,138.79628372785703,835.9411659598131,138.59576906109163
0.7200000000000003,-1.4785550475574076,-0.1531612763705843,8.519589960285815,2.4842491154058504,3.922542312972432,0.0,-2.2554333196198093,-2.1001843078350255,-3.6000879185015835,-27.179438666863003,-24.372994917777962,0.0,806.9022020906095,325.80437817693604,863.9802197775018,31.07896580941642
0.7800000000000004,-1.5933474671152557,-0.3022981614757733,8.30142421287811,0.8657645456081386,2.8237610380571088,0.0,-1.740059547739367,-3.024760989824799,-3.8715912845533165,-26.973642865355426,-22.98853512352944,0.0,755.1147705909634,342.74842567166905,839.3743117439321,65.09432190019957
0.8400000000000004,-1.714662373829924,-0.5004170512975488,8.029855879073015,5.592675157664948,1.6014854558129343,0.0,-2.459599606842994,-3.380706922511428,-5.139910109290519,-26.441023355267014,-22.0980699955163,0.0,742.9448145699251,342.60744791997354,819.7475683817645,114.22922080115384
0.9000000000000005,-1.9006415716917608,-0.7055202440153177,7.702261054314225,4.045615471550182,0.9360445845724445,0.0,-3.719453183376481,-3.532573222935045,-5.785158373660754,-26.028469983704163,-24.123488784171617,0.0,824.3072021651403,148.17917279361316,835.6748353420545,236.27753902372845
0.9600000000000005,-2.143544121668201,-0.9288796149985745,7.31804192602882,2.483316288855958,5.771050220074292,0.0,-4.174076066614886,-3.7581376111535842,-7.183264296498274,-26.061889295031932,-24.18364383041979,0.0,789.3076318993329,225.49329160777972,829.9094611428129,160.76041634486543
1.0200000000000005,-2.3726725511046305,-1.1351329261775844,6.85512017831518,0.9211595227542606,4.525913595137354,0.0,-3.346330606717672,-3.2097347453383205,-8.051940222484816,-26.013138911344644,-23.157193326166443,0.0,742.3086094923294,273.0836537687964,812.7389156886734,58.498143426146854
1.0800000000000005,-2.5363960757112585,-1.3298096837759699,6.353494790438562,5.650462313894849,4.425858196055184,0.0,-2.10857944307024,-3.253989140267061,-8.664722593968653,-26.29064150392235,-20.484974186862196,0.0,696.8670720585332,449.9359765937159,831.4378611003405,79.96949713346501
1.1400000000000006,-2.624733493042543,-1.522006143405142,5.808893865225085,4.072240822876189,4.417275100642744,0.0,-0.8295197911183951,-3.1529676794935826,-9.43914377659021,-26.365874396379713,-23.218908907144797,0.0,821.9666866235831,156.72084546375956,843.6957697152939,177.7395003983146
